stop_number,station_name,latitude,longitude,distance_to_next_km,cumulative_distance_km
1,101 Smith Place,42.392568,-71.150761,0.059,0.0
2,Smith Pl at Wilson Rd,42.392397,-71.150583,2.244,0.059
3,Danehy Park,42.388966,-71.132788,0.737,2.303
4,Rindge Avenue - O'Neill Library,42.392766,-71.129042,0.808,3.04
5,Mass Ave at Hadley/Walden,42.391209,-71.122607,1.047,3.847
6,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,1.541,4.894
7,87-101 Cambridgepark Drive,42.395221,-71.144219,0.216,6.435
8,84 Cambridgepark Dr,42.3936,-71.143941,0.956,6.651
9,Discovery Park - 30 Acorn Park Drive,42.397908,-71.147971,1.017,7.607
10,Thorndike Field at Minuteman Bikeway,42.400168,-71.144569,0.997,8.624
11,Mass Ave at Grafton St,42.40726,-71.143821,0.472,9.621
12,Broadway at Grafton St,42.409942,-71.140093,0.773,10.092
13,Mystic Valley Parkway at River Station,42.415091,-71.139177,0.805,10.865
14,West Medford Square (Bower St at Harvard Ave),42.420647,-71.133483,1.473,11.67
15,Steve Miller Dr at Winthrop St (Medford High),42.428086,-71.12636,1.104,13.143
16,Winthrop Circle,42.421361,-71.117556,1.207,14.248
17,Auburn St. at Mystic River,42.41759,-71.126081,2.026,15.455
18,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,1.455,17.481
19,Grove St at Community Path,42.396386,-71.120113,0.786,18.935
20,Community Path at Cedar Street,42.394072,-71.111336,0.503,19.721
21,Community Path at Lowell St,42.392525,-71.105587,0.429,20.224
22,Somerville Hospital,42.390413,-71.108571,0.561,20.653
23,Craigie St at Summer St,42.388316,-71.110682,1.176,21.214
24,191 Beacon St,42.380323,-71.108786,2.603,22.39
25,Foss Park,42.391084,-71.090394,1.193,24.993
26,Broadway St at Mt Pleasant St,42.386141,-71.078281,1.289,26.186
27,Edwards Playground - Main St at Eden St,42.378965,-71.068607,0.273,27.475
28,Main St at Salem St,42.3771,-71.06646,0.618,27.748
29,Bunker Hill Community College,42.374089,-71.069059,0.595,28.366
30,Main St at Thompson Sq,42.374878,-71.063834,0.201,28.961
31,Main St at Devens St,42.374015,-71.063313,0.946,29.162
32,Hayes Square - Vine St at Moulton St,42.377022,-71.056605,0.521,30.108
33,Chelsea St at Medford St,42.37857,-71.05298,0.497,30.629
34,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,0.718,31.126
35,Charlestown Navy Yard,42.374124,-71.054811,0.44,31.844
36,Constitution Rd at Chelsea St,42.3736,-71.05843,1.193,32.284
37,Commercial St at Charter St,42.36817,-71.056847,0.808,33.477
38,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,0.777,34.285
39,Cross St at Hanover St,42.362811,-71.056067,0.245,35.062
40,Boston Public Market - Surface Rd at Sudbury St,42.362561,-71.057489,0.238,35.307
41,Cross St at Stillman St,42.363707,-71.057493,0.325,35.546
42,Valenti Way at Haverhill St,42.364738,-71.059349,0.64,35.871
43,Nashua Street at Red Auerbach Way [Extension],42.365858,-71.064157,0.022,36.511
44,Nashua Street at Red Auerbach Way,42.365673,-71.064263,0.663,36.534
45,Cambridge St at Joy St,42.361257,-71.065287,0.646,37.197
46,Government Center - Cambridge St at Court St,42.359825,-71.059795,0.116,37.843
47,Tremont St at Court St,42.359086,-71.05971,0.193,37.958
48,Boston City Hall - 28 State St,42.35892,-71.057629,0.212,38.152
49,Congress St at Boston City Hall,42.360417,-71.057522,0.496,38.364
50,Pearl St at Milk St,42.356775,-71.055497,0.263,38.859
51,Broad St at Central St,42.358494,-71.054264,0.413,39.122
52,Clinton St at North St,42.360702,-71.055249,0.339,39.535
53,Surface Rd at State Street,42.359743,-71.052602,0.134,39.875
54,Aquarium T Stop - 200 Atlantic Ave,42.35986,-71.0516,0.301,40.008
55,Surface Rd at India St,42.358155,-71.052163,0.199,40.309
56,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,0.411,40.508
57,Purchase St at Pearl St,42.354659,-71.053181,0.348,40.919
58,High St at Federal St,42.353527,-71.056222,0.356,41.267
59,Post Office Square,42.355854,-71.054597,0.343,41.623
60,Arch St at Franklin St,42.355335,-71.058229,0.689,41.966
61,South Station - 700 Atlantic Ave,42.352175,-71.055547,0.506,42.655
62,Chinatown Gate Plaza,42.351356,-71.059367,0.75,43.161
63,Charles St S at Stuart St,42.350777,-71.066694,0.174,43.911
64,Park Plaza at Charles St S.,42.351828,-71.067811,0.602,44.085
65,Beacon St at Charles St,42.356052,-71.069849,0.274,44.687
66,Mugar Way at Beacon St,42.355536,-71.072868,0.498,44.961
67,Boylston St at Arlington St,42.352095,-71.07022,0.612,45.458
68,Clarendon St at Newbury St,42.351596,-71.075616,0.274,46.07
69,Boylston St at Berkeley St,42.351141,-71.073292,0.232,46.344
70,Stuart St at Berkeley St,42.349544,-71.07242,0.554,46.576
71,Stuart St at Charles St,42.351146,-71.066289,0.491,47.13
72,Shawmut Ave at Oak St W,42.348545,-71.065591,0.264,47.622
73,Shawmut Ave at Herald St,42.346647,-71.066049,0.641,47.886
74,Harrison Ave at Bennet St,42.349426,-71.062099,0.472,48.526
75,Chinatown T Stop,42.352409,-71.062679,0.409,48.998
76,Tremont St at West St,42.354979,-71.063348,0.25,49.407
77,Park Street T Stop - Tremont St at Park St,42.356627,-71.062457,0.724,49.658
78,Surface Rd at Summer St,42.352945,-71.056564,1.102,50.382
79,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.347763,-71.045359,0.547,51.484
80,The Lawn on D,42.344792,-71.044024,2.516,52.031
81,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,0.454,54.548
82,Farragut Rd at E. 6th St,42.3334,-71.02495,1.407,55.002
83,South Boston Library - 646 E Broadway,42.335741,-71.03877,1.583,56.409
84,Harbor St at Channel St,42.345143,-71.036453,0.906,57.993
85,Au Bon Pain Way at Fid Kennedy Ave,42.3461,-71.029199,0.702,58.899
86,ID Building East,42.344827,-71.028664,0.746,59.6
87,Northern Ave at Haul Rd,42.347181,-71.035796,0.231,60.346
88,Congress St at Northern Ave,42.3481,-71.03764,0.829,60.577
89,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,42.351586,-71.045692,1.159,61.406
90,State Street at Channel Center,42.344137,-71.052608,0.575,62.565
91,Dorchester Ave at Gillette Park,42.34404,-71.057376,0.185,63.14
92,Broadway T Stop,42.343048,-71.058034,0.616,63.325
93,Troy Boston,42.343749,-71.062256,0.37,63.941
94,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,0.563,64.311
95,Washington St at Peters Park,42.342958,-71.067052,0.279,64.874
96,Washington St at Waltham St,42.341574,-71.068904,0.297,65.153
97,Washington St at W Dedham St,42.340335,-71.071799,0.573,65.451
98,Albany St at E. Brookline St,42.336647,-71.068944,0.446,66.024
99,Harrison Ave at E. Dedham St,42.339194,-71.06975,0.729,66.469
100,Tremont St at W. Dedham St,42.342549,-71.074214,0.493,67.198
101,Tremont St at E Berkeley St,42.345392,-71.069616,0.581,67.692
102,Warren Ave at Dartmouth St,42.34431,-71.074033,0.754,68.273
103,Boylston St at Dartmouth St,42.350287,-71.077505,0.041,69.027
104,Copley Square - Dartmouth St at Boylston St,42.349928,-71.077392,0.432,69.068
105,Back Bay T Stop - Dartmouth St at Stuart St,42.348074,-71.07657,1.063,69.5
106,Massachusetts Ave at Columbus Ave,42.340835,-71.081619,0.593,70.563
107,South End Library - Tremont St at W Newton St,42.341332,-71.076847,0.448,71.156
108,Washington St at Rutland St,42.338514,-71.07404,0.574,71.603
109,Washington St at Lenox St,42.335098,-71.079037,0.328,72.177
110,Washington St at Melnea Cass Blvd,42.332817,-71.081198,1.675,72.505
111,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,1.339,74.18
112,Uphams Corner T Stop - Magnolia St at Dudley St,42.318697,-71.069781,1.528,75.519
113,Walnut Ave at Warren St,42.324081,-71.083235,1.166,77.047
114,Bartlett St at John Elliot Sq,42.329463,-71.090158,0.691,78.213
115,Whittier St Health Center,42.332862,-71.092188,0.801,78.904
116,Parker St at Huntington Ave,42.338488,-71.092611,0.293,79.704
117,Forsyth St at Huntington Ave,42.34002,-71.090688,1.348,79.997
118,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,1.028,81.345
119,Jackson Square T Stop,42.322931,-71.100141,0.817,82.372
120,Stony Brook T Stop,42.316966,-71.104374,0.822,83.189
121,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,0.585,84.012
122,Williams St at Washington St,42.306539,-71.107669,0.899,84.597
123,Curtis Hall - South St at Centre St,42.309054,-71.11543,0.398,85.495
124,Jamaica St at South St,42.306045,-71.115708,0.682,85.893
125,Forest Hills,42.300923,-71.114249,0.706,86.575
126,Hyde Park Ave at Walk Hill St,42.296067,-71.116011,1.155,87.28
127,Archdale Rd at Washington St,42.292665,-71.121195,1.627,88.436
128,Centre St at Allandale St,42.300806,-71.127436,1.147,90.063
129,Knoll St at Centre St,42.293766,-71.136565,1.848,91.21
130,Centre St at W. Roxbury Post Office,42.286331,-71.153447,1.935,93.059
131,Spring St at Powell St,42.277484,-71.163414,0.995,94.994
132,Centre St at Parkway YMCA,42.282779,-71.157288,1.26,95.989
133,Bellevue T Stop,42.28593,-71.147221,0.873,97.249
134,Belgrade Ave at Walworth St,42.286345,-71.136721,0.928,98.122
135,Washington St at Denton Terr,42.280728,-71.134237,0.821,99.05
136,Roslindale Village - Washington St,42.286307,-71.128205,0.141,99.871
137,Roslindale Village - South St,42.287072,-71.127754,1.109,100.013
138,Mt. Hope St at Hyde Park Ave,42.284844,-71.118745,0.738,101.122
139,Northbourne Rd at Hyde Park Ave,42.29118,-71.117736,1.143,101.859
140,606 American Legion Hwy at Canterbury St,42.28578,-71.109725,1.041,103.002
141,American Legion Hwy at Cummins Hwy,42.278811,-71.116877,0.9,104.044
142,American Legion Hwy at Hyde Park Ave,42.272653,-71.119903,0.569,104.943
143,555 Metropolitan Ave,42.2681,-71.11924,0.666,105.512
144,Ross Playground,42.264566,-71.114552,0.748,106.178
145,Hyde Park Ave at Arlington St,42.262867,-71.121631,0.724,106.926
146,Hyde Park Library,42.256837,-71.122509,0.323,107.65
147,Cleary Sq,42.2556,-71.12444,0.782,107.974
148,Truman Parkway at Fairmount Ave,42.252287,-71.118358,3.042,108.756
149,Mattapan T Stop,42.267902,-71.093641,0.471,111.797
150,Cummins Highway at Blue Hill Ave T Stop,42.269988,-71.097461,1.109,112.268
151,Blue Hill Ave at Almont St,42.27462,-71.093725,0.584,113.377
152,Mattapan Library,42.277388,-71.09325,0.983,113.961
153,Morton St T,42.280725,-71.086172,0.975,114.944
154,Morton St at Gallivan Blvd,42.278747,-71.080286,1.366,115.919
155,Central Ave at River St,42.270947,-71.073379,2.15,117.285
156,Ashmont T Stop,42.285694,-71.064138,1.053,119.435
157,Shawmut T Stop,42.292917,-71.06575,0.55,120.488
158,Dorchester Ave at King St,42.291718,-71.062571,0.732,121.038
159,Adams St at Mallet St.,42.290891,-71.056746,1.271,121.77
160,Fields Corner T Stop,42.299633,-71.060689,1.255,123.041
161,Washington St at Bowdoin St,42.299164,-71.073458,0.624,124.296
162,Four Corners/Geneva T Stop,42.303215,-71.078209,0.194,124.919
163,Four Corners - 157 Washington St,42.304127,-71.079295,0.592,125.113
164,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,0.898,125.705
165,Columbia Rd at Ceylon St,42.309572,-71.0729,1.33,126.602
166,Blue Hill Ave at Southwood St,42.31786,-71.077986,0.662,127.932
167,Roxbury YMCA - Warren St at MLK Blvd,42.317873,-71.08243,0.876,128.594
168,MLK Blvd at Washington St,42.321438,-71.09126,0.732,129.47
169,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,0.682,130.202
170,The Dimock Center,42.319309,-71.096399,0.567,130.883
171,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,0.532,131.45
172,Walnut Ave at School St,42.312423,-71.096169,0.657,131.983
173,Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225,0.997,132.64
174,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,1.196,133.637
175,Circuit Drive at American Legion Hwy,42.297041,-71.091719,0.849,134.833
176,Talbot Ave At Blue Hill Ave,42.294583,-71.087111,1.382,135.682
177,2 Hummingbird Lane at Olmsted Green,42.28887,-71.095003,0.741,137.064
178,Blue Hill Ave at Havelock St,42.286012,-71.090986,1.352,137.805
179,Thetford Ave at Norfolk St,42.286212,-71.079429,0.797,139.157
180,Talbot Ave T Station,42.292251,-71.077972,0.418,139.954
181,Park St at Norwell St,42.294425,-71.078217,0.82,140.373
182,Washington St at Talbot Ave,42.290333,-71.071806,0.349,141.193
183,Codman Square Library,42.287361,-71.071111,0.618,141.542
184,Washington St at Fuller St,42.281986,-71.071479,0.588,142.16
185,Washington St at Walsh Playground,42.277194,-71.069556,1.149,142.748
186,Butler T Stop,42.272548,-71.062882,0.975,143.897
187,Cedar Grove T Stop,42.279607,-71.060221,1.079,144.873
188,Gallivan Blvd at Adams St,42.282975,-71.054666,1.058,145.952
189,Pope John Paul II Park - Neponset Trail at Hallet St,42.279774,-71.046085,2.387,147.01
190,780 Morrissey Blvd,42.295305,-71.047186,1.217,149.397
191,Beach St at Freeport St,42.303674,-71.054259,1.244,150.614
192,Bowdoin St at Quincy St,42.307852,-71.065122,0.568,151.858
193,Hancock St at Pleasant St,42.309819,-71.060199,0.802,152.426
194,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,1.489,153.229
195,Sydney St at Carson St,42.320393,-71.053554,0.545,154.717
196,Meaney Playground - Pleasant St at E Cottage St,42.319384,-71.058291,0.375,155.262
197,E Cottage St at Columbia Rd,42.320561,-71.06198,0.515,155.637
198,Uphams Corner,42.317274,-71.06537,1.291,156.153
199,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354,1.062,157.444
200,Nubian Square - Bolling Building,42.329842,-71.083865,1.028,158.506
201,Northampton St at Fellows St,42.333586,-71.075188,0.444,159.533
202,Boston Medical Center - E Concord St at Harrison Ave,42.336399,-71.073067,0.6,159.977
203,Washington St at Northampton St,42.336258,-71.077564,0.33,160.577
204,Shawmut Ave at Lenox St,42.335846,-71.080381,0.325,160.908
205,Lenox St at Kendall St,42.337594,-71.08255,0.189,161.232
206,Tremont St at Northampton St,42.338431,-71.08169,0.961,161.421
207,Northeastern University - North Parking Lot,42.341814,-71.090179,0.688,162.382
208,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.343665,-71.085823,0.549,163.07
209,Boylston St at Massachusetts Ave,42.347406,-71.086784,0.151,163.62
210,Massachusetts Ave at Boylston St.,42.34752,-71.088012,2.413,163.77
211,One Broadway / Kendall Sq at Main St / 3rd St,42.362241,-71.08311,0.702,166.183
212,75 Binney St,42.365507,-71.080137,0.742,166.885
213,Galileo Galilei Way at Fulkerson St/Binney St,42.36642,-71.088541,0.154,167.628
214,325 Binney St.,42.36722,-71.08903,1.008,167.781
215,Cambridge Dept. of Public Works -147 Hampshire St.,42.371197,-71.097598,0.475,168.789
216,Inman Square at Springfield St.,42.374267,-71.100264,0.828,169.264
