stop_number,station_id,station_name,lat,lng,distance_to_next_km,cumulative_distance_km
1,0,101 Smith Place,42.392568,-71.150761,1.025,0.0
2,187,Danehy Park at New Street,42.389456,-71.139019,0.756,1.025
3,31,Alewife Station at Russell Field,42.396232,-71.139788,0.381,1.781
4,23,87-101 Cambridgepark Drive,42.395221,-71.144219,0.182,2.161
5,21,84 Cambridgepark Dr,42.3936,-71.143941,0.247,2.343
6,30,Alewife MBTA at Steel Place,42.395588,-71.142606,0.511,2.59
7,193,Discovery Park - 30 Acorn Park Drive,42.397908,-71.147971,0.376,3.1
8,492,Thorndike Field at Minuteman Bikeway,42.400168,-71.144569,0.485,3.476
9,302,Lake St. at Minuteman Bikeway,42.40417,-71.146903,0.427,3.961
10,340,Mass Ave at Grafton St,42.40726,-71.143821,0.886,4.387
11,339,Mass Ave at Alewife Greenway,42.401364,-71.136557,2.101,5.274
12,51,Ball Sq,42.399368,-71.111115,0.589,7.375
13,167,Community Path at Cedar Street,42.394072,-71.111336,0.642,7.964
14,178,Craigie St at Summer St,42.388316,-71.110682,0.407,8.606
15,554,Wilson Square,42.385675,-71.114121,0.482,9.013
16,410,Porter Square Station,42.387995,-71.119084,0.704,9.496
17,417,Raymond Park at Walden St,42.387369,-71.12761,0.612,10.2
18,421,Rindge Avenue - O'Neill Library,42.392766,-71.129042,0.523,10.811
19,186,Danehy Park,42.388966,-71.132788,1.153,11.334
20,263,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,0.768,12.487
21,275,Huron Ave At Vassal Lane,42.38165,-71.134269,1.634,13.254
22,18,700 Huron Ave,42.380788,-71.154128,0.782,14.888
23,16,699 Mt Auburn St,42.375002,-71.148716,1.102,15.67
24,360,Mt Auburn,42.374932,-71.135304,1.143,16.772
25,253,Harvard Kennedy School at Bennett St / Eliot St,42.372216,-71.12188,0.504,17.915
26,259,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,0.556,18.42
27,467,Stadium Rd at Western Ave,42.36306,-71.125045,0.318,18.975
28,3,175 N Harvard St,42.364474,-71.128408,0.538,19.293
29,550,Western Ave at Everett St,42.363168,-71.134719,0.868,19.832
30,551,Western Ave at Leo Birmingham Pkwy,42.361558,-71.14506,0.6,20.7
31,94,Brighton Mills - 370 Western Ave,42.361545,-71.137762,0.914,21.3
32,502,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,1.114,22.213
33,398,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,0.039,23.328
34,165,Commonwealth Ave at Naples Rd,42.351911,-71.123798,0.212,23.367
35,157,Commonwealth Ave At Babcock St,42.351547,-71.121262,0.184,23.579
36,158,Commonwealth Ave at Agganis Way,42.351692,-71.119034,1.097,23.763
37,389,Old Morse Park at Putnam Ave,42.357662,-71.108413,0.707,24.859
38,356,Moore Youth Center,42.363539,-71.111698,0.355,25.566
39,185,Dana Park,42.36178,-71.108099,0.767,25.921
40,320,MIT Vassar St,42.355601,-71.103944,0.894,26.688
41,191,Deerfield St at Commonwealth Ave,42.349243,-71.097282,0.126,27.582
42,296,Kenmore Square - 660 Beacon St,42.34922,-71.095751,0.663,27.708
43,343,Massachusetts Ave at Boylston St.,42.34752,-71.088012,0.465,28.372
44,143,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.343665,-71.085823,0.467,28.836
45,344,Massachusetts Ave at Columbus Ave,42.340835,-71.081619,0.267,29.304
46,496,Tremont St at Northampton St,42.338431,-71.08169,0.307,29.571
47,448,Shawmut Ave at Lenox St,42.335846,-71.080381,0.343,29.878
48,530,Washington St at Melnea Cass Blvd,42.332817,-71.081198,1.392,30.221
49,372,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,1.463,31.614
50,534,Washington St at Rutland St,42.338514,-71.07404,0.467,33.076
51,29,Albany St at E. Brookline St,42.336647,-71.068944,0.548,33.544
52,540,Washington St at Waltham St,42.341574,-71.068904,0.216,34.092
53,533,Washington St at Peters Park,42.342958,-71.067052,0.633,34.308
