stop_number,station_id,station_name,lat,lng,distance_to_next_km,cumulative_distance_km
1,0,101 Smith Place,42.392568,-71.150761,1.025,0.0
2,187,Danehy Park at New Street,42.389456,-71.139019,0.756,1.025
3,31,Alewife Station at Russell Field,42.396232,-71.139788,0.242,1.781
4,30,Alewife MBTA at Steel Place,42.395588,-71.142606,0.247,2.023
5,21,84 Cambridgepark Dr,42.3936,-71.143941,0.182,2.27
6,23,87-101 Cambridgepark Drive,42.395221,-71.144219,0.429,2.451
7,193,Discovery Park - 30 Acorn Park Drive,42.397908,-71.147971,0.376,2.88
8,492,Thorndike Field at Minuteman Bikeway,42.400168,-71.144569,0.485,3.256
9,302,Lake St. at Minuteman Bikeway,42.40417,-71.146903,0.427,3.741
10,340,Mass Ave at Grafton St,42.40726,-71.143821,0.886,4.167
11,339,Mass Ave at Alewife Greenway,42.401364,-71.136557,1.459,5.054
12,242,Grove St at Community Path,42.396386,-71.120113,0.765,6.513
13,167,Community Path at Cedar Street,42.394072,-71.111336,0.642,7.278
14,178,Craigie St at Summer St,42.388316,-71.110682,0.531,7.921
15,206,Elm St at White St,42.389524,-71.116941,0.502,8.452
16,341,Mass Ave at Hadley/Walden,42.391209,-71.122607,0.556,8.954
17,421,Rindge Avenue - O'Neill Library,42.392766,-71.129042,0.523,9.51
18,186,Danehy Park,42.388966,-71.132788,0.461,10.032
19,417,Raymond Park at Walden St,42.387369,-71.12761,0.554,10.493
20,237,Graham and Parks School – Linnaean St at Walker St,42.382944,-71.124498,0.815,11.048
21,275,Huron Ave At Vassal Lane,42.38165,-71.134269,1.634,11.863
22,18,700 Huron Ave,42.380788,-71.154128,0.782,13.497
23,16,699 Mt Auburn St,42.375002,-71.148716,1.102,14.279
24,360,Mt Auburn,42.374932,-71.135304,1.143,15.381
25,253,Harvard Kennedy School at Bennett St / Eliot St,42.372216,-71.12188,0.504,16.524
26,259,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,0.159,17.028
27,366,N. Harvard St at Harvard Way,42.366782,-71.125175,0.369,17.187
28,3,175 N Harvard St,42.364474,-71.128408,0.538,17.557
29,550,Western Ave at Everett St,42.363168,-71.134719,0.289,18.095
30,267,Herter Park,42.365723,-71.135392,0.504,18.385
31,94,Brighton Mills - 370 Western Ave,42.361545,-71.137762,1.174,18.888
32,92,Brighton Ave at Linden St,42.352837,-71.129675,0.484,20.063
33,398,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,0.039,20.547
34,165,Commonwealth Ave at Naples Rd,42.351911,-71.123798,0.212,20.586
35,157,Commonwealth Ave At Babcock St,42.351547,-71.121262,0.184,20.799
36,158,Commonwealth Ave at Agganis Way,42.351692,-71.119034,0.747,20.982
37,315,Lower Cambridgeport at Magazine St / Riverside Rd,42.357218,-71.113871,0.694,21.729
38,185,Dana Park,42.36178,-71.108099,0.459,22.423
39,389,Old Morse Park at Putnam Ave,42.357662,-71.108413,0.433,22.882
40,320,MIT Vassar St,42.355601,-71.103944,1.588,23.315
41,343,Massachusetts Ave at Boylston St.,42.34752,-71.088012,0.102,24.903
42,87,Boylston St at Massachusetts Ave,42.347406,-71.086784,0.161,25.005
43,371,Newbury St at Hereford St,42.348717,-71.085954,0.562,25.166
44,143,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.343665,-71.085823,0.326,25.727
45,337,Mass Ave T Station,42.341356,-71.083369,0.424,26.054
46,306,Lenox St at Kendall St,42.337594,-71.08255,0.869,26.478
47,386,Nubian Square - Bolling Building,42.329842,-71.083865,0.397,27.346
48,530,Washington St at Melnea Cass Blvd,42.332817,-71.081198,0.485,27.743
49,532,Washington St at Northampton St,42.336258,-71.077564,0.37,28.229
50,78,Boston Medical Center - E Concord St at Harrison Ave,42.336399,-71.073067,0.248,28.599
51,534,Washington St at Rutland St,42.338514,-71.07404,0.274,28.847
52,537,Washington St at W Dedham St,42.340335,-71.071799,0.275,29.121
53,540,Washington St at Waltham St,42.341574,-71.068904,0.216,29.396
54,533,Washington St at Peters Park,42.342958,-71.067052,0.183,29.612
