stop_number,station_id,station_name,lat,lng,distance_to_next_km,cumulative_distance_km
1,0,101 Smith Place,42.392568,-71.150761,0.592,0.0
2,11,55 Wheeler Street,42.390821,-71.143946,0.692,0.592
3,31,Alewife Station at Russell Field,42.396232,-71.139788,0.697,1.284
4,193,Discovery Park - 30 Acorn Park Drive,42.397908,-71.147971,0.429,1.982
5,23,87-101 Cambridgepark Drive,42.395221,-71.144219,0.182,2.411
6,21,84 Cambridgepark Dr,42.3936,-71.143941,0.247,2.592
7,30,Alewife MBTA at Steel Place,42.395588,-71.142606,0.534,2.839
8,492,Thorndike Field at Minuteman Bikeway,42.400168,-71.144569,0.485,3.373
9,302,Lake St. at Minuteman Bikeway,42.40417,-71.146903,0.427,3.858
10,340,Mass Ave at Grafton St,42.40726,-71.143821,0.886,4.285
11,339,Mass Ave at Alewife Greenway,42.401364,-71.136557,2.101,5.171
12,51,Ball Sq,42.399368,-71.111115,0.589,7.272
13,167,Community Path at Cedar Street,42.394072,-71.111336,0.642,7.861
14,178,Craigie St at Summer St,42.388316,-71.110682,0.531,8.503
15,206,Elm St at White St,42.389524,-71.116941,0.245,9.034
16,410,Porter Square Station,42.387995,-71.119084,0.704,9.279
17,417,Raymond Park at Walden St,42.387369,-71.12761,0.612,9.983
18,421,Rindge Avenue - O'Neill Library,42.392766,-71.129042,0.523,10.594
19,186,Danehy Park,42.388966,-71.132788,0.515,11.117
20,187,Danehy Park at New Street,42.389456,-71.139019,0.838,11.632
21,223,Fresh Pond Reservation,42.382678,-71.143478,0.9,12.47
22,18,700 Huron Ave,42.380788,-71.154128,0.782,13.369
23,16,699 Mt Auburn St,42.375002,-71.148716,1.102,14.151
24,360,Mt Auburn,42.374932,-71.135304,1.143,15.253
25,253,Harvard Kennedy School at Bennett St / Eliot St,42.372216,-71.12188,0.504,16.396
26,259,Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242,0.159,16.901
27,366,N. Harvard St at Harvard Way,42.366782,-71.125175,0.369,17.06
28,3,175 N Harvard St,42.364474,-71.128408,0.538,17.429
29,550,Western Ave at Everett St,42.363168,-71.134719,0.289,17.967
30,267,Herter Park,42.365723,-71.135392,0.504,18.257
31,94,Brighton Mills - 370 Western Ave,42.361545,-71.137762,1.174,18.761
